file              min_sup     min_conf                                                                                                                                                                                            
out1_untappd.csv  0.005       0.6                                                                                                                                                                                                 
support           confidence  antecedent                                                                                                                                                                                          consequent
0.006             0.190       {Firestone Walker Brewing Company+Easy Jack}                                                                                                                                                        {Sierra Nevada Brewing Co.+Torpedo Extra IPA}-{Lagunitas Brewing Company+IPA}
0.006             0.190       {Firestone Walker Brewing Company+Easy Jack}                                                                                                                                                        {Stone Brewing Co.+Stone Ruination IPA}-{Lagunitas Brewing Company+A Little Sumpin' Sumpin' Ale}
0.006             0.200       {New Belgium Brewing Company+Fat Tire}                                                                                                                                                              {Anchor Brewing Company+Anchor Steam Beer}-{Firestone Walker Brewing Company+805 Blonde}-{Firestone Walker Brewing Company+Pivo Pils}
0.006             0.200       {New Belgium Brewing Company+Fat Tire}                                                                                                                                                              {Anchor Brewing Company+Anchor Steam Beer}-{Firestone Walker Brewing Company+Pivo Pils}
0.006             0.200       {New Belgium Brewing Company+Fat Tire}                                                                                                                                                              {Deschutes Brewery+Mirror Pond Pale Ale}-{Firestone Walker Brewing Company+805 Blonde}-{Kona Brewing Company+Fire Rock Pale Ale}
0.006             0.200       {New Belgium Brewing Company+Fat Tire}                                                                                                                                                              {Deschutes Brewery+Mirror Pond Pale Ale}-{Firestone Walker Brewing Company+805 Blonde}-{Kona Brewing Company+Fire Rock Pale Ale}-{Sapporo Breweries+Sapporo Premium Beer}
0.006             0.200       {New Belgium Brewing Company+Fat Tire}                                                                                                                                                              {Deschutes Brewery+Mirror Pond Pale Ale}-{Firestone Walker Brewing Company+805 Blonde}-{Sapporo Breweries+Sapporo Premium Beer}
0.006             0.200       {New Belgium Brewing Company+Fat Tire}                                                                                                                                                              {Deschutes Brewery+Mirror Pond Pale Ale}-{Kona Brewing Company+Fire Rock Pale Ale}
0.006             0.200       {New Belgium Brewing Company+Fat Tire}                                                                                                                                                              {Deschutes Brewery+Mirror Pond Pale Ale}-{Kona Brewing Company+Fire Rock Pale Ale}-{Sapporo Breweries+Sapporo Premium Beer}
0.006             0.200       {New Belgium Brewing Company+Fat Tire}                                                                                                                                                              {Deschutes Brewery+Mirror Pond Pale Ale}-{Sapporo Breweries+Sapporo Premium Beer}
